category,name,url
AI 互動學習,圖像情境學習：魔法教室詞彙,https://cpaizo.github.io/english_interactive_app00.html
AI 互動學習,圖像情境學習語音版本：魔法教室詞彙,https://cpaizo.github.io/english_interactive_app01.html
AI 互動學習,浪漫情侶旅遊景點生成器,https://gemini.google.com/share/447a6f33103b
AI 互動學習,HTML 探險實驗室,https://cpaizo.github.io/Interactive HTML Basics.html
AI 海報工具,小小旅行家 AI 海報,https://reurl.cc/VmMLx5
AI 海報工具,AI 海報設計師,https://gemini.google.com/share/ba50716adb67
AI 海報工具,AI 海報發表生成器,https://gemini.google.com/share/de9022b5a007
AI 海報工具,AI 海報提示詞與創作理念自動生成器,https://gemini.google.com/share/4cefd7f95e15
AI 海報工具,永續生活海報靈感範例庫,https://gemini.google.com/share/6c26e594a2be
AI 海報工具,學生專用AI海報設計器,https://cpaizo.github.io/student_poster_maker.html
AI 海報工具,2050 永續海報 AI 中英生成助手,https://gemini.google.com/share/e732b1379ef5
AI 工具,多頁 PDF 視覺編輯器,https://gemini.google.com/share/4e4f7e9891e5
個人系統,植髮紀錄系統,https://script.google.com/macros/s/AKfycbyyLvUR_XBMBRIkyLpUJW7VLwJqM2YCxHATgboyL1RpRstix8UeFuA4BmNLlhRcUw9t/exec
個人系統,CPAIZO 閱讀分享平台,https://cpaizo-app.web.app/
學生作品區,keanulin,https://keanulin256688.github.io/
